isolate,species,width,length
ICMP 16948,P. cocois,7.425,9.9
ICMP 16948,P. cocois,7.425,9.9
ICMP 16948,P. cocois,8.91,9.9
ICMP 16948,P. cocois,9.9,12.375
ICMP 16948,P. cocois,9.9,12.375
ICMP 16948,P. cocois,12.375,14.85
ICMP 16948,P. cocois,7.425,9.9
ICMP 16948,P. cocois,9.9,14.85
ICMP 16948,P. cocois,9.9,9.9
ICMP 16948,P. cocois,7.425,9.9
ICMP 16948,P. cocois,10.89,12.375
ICMP 16948,P. cocois,9.9,12.375
ICMP 16948,P. cocois,9.9,14.85
ICMP 16948,P. cocois,10.89,12.375
ICMP 16948,P. cocois,9.9,10.89
ICMP 16948,P. cocois,8.415,8.415
ICMP 16948,P. cocois,9.9,10.89
ICMP 16948,P. cocois,9.9,12.375
ICMP 16948,P. cocois,9.9,10.89
ICMP 16948,P. cocois,10.89,12.375
ICMP 16949,P. cocois,9.9,12.375
ICMP 16949,P. cocois,9.9,9.9
ICMP 16949,P. cocois,9.9,9.9
ICMP 16949,P. cocois,9.9,12.375
ICMP 16949,P. cocois,12.375,12.375
ICMP 16949,P. cocois,9.9,9.9
ICMP 16949,P. cocois,9.9,9.9
ICMP 16949,P. cocois,7.425,7.5
ICMP 16949,P. cocois,9.9,12.375
ICMP 16949,P. cocois,9.9,9.9
ICMP 16949,P. cocois,12.375,15.84
ICMP 16949,P. cocois,8.415,9.9
ICMP 16949,P. cocois,9.9,12.375
ICMP 16949,P. cocois,9.9,10.89
ICMP 16949,P. cocois,9.9,12.375
ICMP 16949,P. cocois,9.9,12.375
ICMP 16949,P. cocois,7.425,9.9
ICMP 16949,P. cocois,7.425,9.9
ICMP 16949,P. cocois,9.9,12.375
ICMP 16949,P. cocois,10.89,13.365
ICMP 16471,P. agathicidia,10.89,12.375
ICMP 16471,P. agathicidia,12.375,13.365
ICMP 16471,P. agathicidia,9.9,10.89
ICMP 16471,P. agathicidia,14.85,17.325
ICMP 16471,P. agathicidia,9.9,10.89
ICMP 16471,P. agathicidia,10.89,12.375
ICMP 16471,P. agathicidia,10.89,12.375
ICMP 16471,P. agathicidia,12.5,12.375
ICMP 16471,P. agathicidia,10.89,12.375
