isolate,species,oogonium.width,oospore.width
ICMP 16471,P. agathidicida,32.65,29.7
ICMP 16471,P. agathidicida,24.75,22.23
ICMP 16471,P. agathidicida,29.7,27.23
ICMP 16471,P. agathidicida,32.2,27.23
ICMP 16471,P. agathidicida,32.2,24.75
ICMP 16471,P. agathidicida,32.2,27.23
ICMP 16471,P. agathidicida,29.7,24.75
ICMP 16471,P. agathidicida,32.65,29.7
ICMP 16471,P. agathidicida,32.2,24.75
ICMP 16471,P. agathidicida,32.2,27.23
ICMP 16471,P. agathidicida,29.7,27.23
ICMP 16471,P. agathidicida,29.7,24.75
ICMP 16471,P. agathidicida,22.23,19.8
ICMP 16471,P. agathidicida,32.65,29.7
ICMP 16471,P. agathidicida,32.2,27.23
ICMP 16471,P. agathidicida,32.2,24.75
ICMP 16471,P. agathidicida,37.13,29.7
ICMP 16471,P. agathidicida,32.65,29.7
ICMP 16471,P. agathidicida,29.7,27.23
ICMP 16471,P. agathidicida,32.65,29.7
ICMP 18244,P. agathidicida,32.2,29.7
ICMP 18244,P. agathidicida,29.7,27.23
ICMP 18244,P. agathidicida,29.7,27.23
ICMP 18244,P. agathidicida,29.7,27.23
ICMP 18244,P. agathidicida,24.75,22.23
ICMP 18244,P. agathidicida,32.2,29.7
ICMP 18244,P. agathidicida,37.13,29.7
ICMP 18244,P. agathidicida,37.13,29.7
ICMP 18244,P. agathidicida,32.2,29.7
ICMP 18244,P. agathidicida,32.65,29.7
ICMP 18244,P. agathidicida,32.65,32.65
ICMP 18244,P. agathidicida,29.7,24.75
ICMP 18244,P. agathidicida,29.7,27.23
ICMP 18244,P. agathidicida,29.7,24.75
ICMP 18244,P. agathidicida,32.65,29.7
ICMP 18244,P. agathidicida,29.7,24.75
ICMP 18244,P. agathidicida,32.65,29.7
ICMP 18244,P. agathidicida,32.65,32.2
ICMP 18244,P. agathidicida,32.2,29.7
ICMP 18244,P. agathidicida,29.7,24.75
ICMP 17964,P. heveae,24.75,19.8
ICMP 17964,P. heveae,24.75,22.23
