isolate,species,width,length,pore
ICMP 16948,P. cocois,34.65,47.025,4.95
ICMP 16948,P. cocois,24.75,49.5,4.95
ICMP 16948,P. cocois,29.7,49.5,4.95
ICMP 16948,P. cocois,19.8,34.65,7.425
ICMP 16948,P. cocois,29.7,42.075,4.95
ICMP 16948,P. cocois,27.225,39.6,4.95
ICMP 16948,P. cocois,27.225,49.5,4.95
ICMP 16948,P. cocois,24.75,39.6,4.95
ICMP 16948,P. cocois,29.7,49.5,4.95
ICMP 16948,P. cocois,24.75,49.5,4.95
ICMP 16948,P. cocois,24.75,29.7,4.95
ICMP 16948,P. cocois,20.79,29.7,4.2
ICMP 16948,P. cocois,19.8,37.125,4.95
ICMP 16948,P. cocois,17.325,29.7,4.95
ICMP 16948,P. cocois,27.225,29.7,4.95
ICMP 16948,P. cocois,17.325,44.55,3.71
ICMP 16948,P. cocois,19.8,27.225,4.95
ICMP 16948,P. cocois,29.7,31.85,4.95
ICMP 16948,P. cocois,14.85,19.8,3.71
ICMP 16948,P. cocois,27.225,29.7,4.95
ICMP 16949,P. cocois,24.75,39.6,4.95
ICMP 16949,P. cocois,24.75,49.5,7.425
ICMP 16949,P. cocois,29.7,49.5,7.425
ICMP 16949,P. cocois,29.7,37.125,4.95
ICMP 16949,P. cocois,27.225,37.125,4.95
ICMP 16949,P. cocois,27.225,37.125,4.95
ICMP 16949,P. cocois,24.75,49.5,4.95
ICMP 16949,P. cocois,29.7,49.5,4.95
ICMP 16949,P. cocois,29.7,37.125,4.95
ICMP 16949,P. cocois,29.7,39.6,4.95
ICMP 16949,P. cocois,34.65,37.125,6.187
ICMP 16949,P. cocois,12.375,18.562,6.187
ICMP 16949,P. cocois,24.75,34.65,3.71
ICMP 16949,P. cocois,22.275,31.85,7.425
ICMP 16949,P. cocois,29.7,44.55,4.95
ICMP 16949,P. cocois,24.75,39.6,4.95
ICMP 16949,P. cocois,27.225,42.075,7.425
ICMP 16949,P. cocois,17.325,24.75,4.95
ICMP 16949,P. cocois,27.225,49.5,4.95
ICMP 16949,P. cocois,19.8,22.275,4.95
ICMP 16471,P. agathidicida,19.8,69.3,4.95
ICMP 16471,P. agathidicida,22.275,49.5,4.95
ICMP 16471,P. agathidicida,24.75,51.975,4.95
ICMP 16471,P. agathidicida,24.75,49.5,4.95
ICMP 16471,P. agathidicida,19.8,44.55,4.95
ICMP 16471,P. agathidicida,19.8,59.4,4.95
ICMP 16471,P. agathidicida,19.8,59.4,4.95
ICMP 16471,P. agathidicida,19.8,34.65,4.95
ICMP 16471,P. agathidicida,19.8,37.125,4.95
ICMP 16471,P. agathidicida,17.325,24.75,4.95
ICMP 16471,P. agathidicida,24.75,74.25,4.95
ICMP 16471,P. agathidicida,19.8,22.275,4.95
ICMP 16471,P. agathidicida,27.225,34.65,3.71
ICMP 16471,P. agathidicida,17.325,37.125,4.95
ICMP 16471,P. agathidicida,32.175,59.4,4.95
ICMP 16471,P. agathidicida,39.6,49.5,4.95
ICMP 16471,P. agathidicida,29.7,64.35,4.95
ICMP 16471,P. agathidicida,17.325,17.325,4.95
ICMP 16471,P. agathidicida,24.75,37.125,4.95
ICMP 16471,P. agathidicida,17.325,19.8,4.95
ICMP 18360,P. agathidicida,32.175,49.5,4.95
ICMP 18360,P. agathidicida,29.7,39.6,4.95
ICMP 18360,P. agathidicida,24.75,49.5,4.95
ICMP 18360,P. agathidicida,32.175,44.55,4.95
ICMP 18360,P. agathidicida,19.8,42.625,4.95
ICMP 18360,P. agathidicida,24.75,34.65,5.445
ICMP 18360,P. agathidicida,19.8,34.65,4.95
ICMP 18360,P. agathidicida,24.75,49.5,4.95
ICMP 18360,P. agathidicida,32.175,49.5,4.95
ICMP 18360,P. agathidicida,29.7,37.125,4.95
ICMP 18360,P. agathidicida,39.6,51.975,4.95
ICMP 18360,P. agathidicida,34.65,42.075,4.95
ICMP 18360,P. agathidicida,19.8,24.75,4.95
ICMP 18360,P. agathidicida,24.75,27.225,4.95
ICMP 18360,P. agathidicida,32.175,49.5,4.95
ICMP 18360,P. agathidicida,34.65,49.5,4.95
ICMP 18360,P. agathidicida,24.75,51.975,4.95
ICMP 18360,P. agathidicida,24.75,37.125,6.187
ICMP 18360,P. agathidicida,34.65,49.5,4.95
ICMP 18360,P. agathidicida,24.75,39.6,3.71
ICMP 18401,P. agathidicida,32.175,47.025,4.95
ICMP 18401,P. agathidicida,29.5,56.925,4.95
ICMP 18401,P. agathidicida,27.225,49.5,4.95
ICMP 18401,P. agathidicida,27.225,42.075,4.95
ICMP 18401,P. agathidicida,24.75,34.65,4.95
ICMP 18401,P. agathidicida,34.65,54.45,4.95
ICMP 18401,P. agathidicida,27.225,49.5,4.95
ICMP 18401,P. agathidicida,39.6,51.975,4.95
ICMP 18401,P. agathidicida,34.65,51.975,4.95
ICMP 18401,P. agathidicida,24.75,54.45,4.95
ICMP 18401,P. agathidicida,19.8,29.7,4.95
ICMP 18401,P. agathidicida,32.175,34.65,4.95
ICMP 18401,P. agathidicida,12.375,17.325,2.475
ICMP 18401,P. agathidicida,24.75,29.7,7.425
ICMP 18401,P. agathidicida,32.175,37.125,4.95
ICMP 18401,P. agathidicida,27.225,44.55,4.95
ICMP 18401,P. agathidicida,34.65,39.6,4.95
ICMP 18401,P. agathidicida,14.85,24.75,4.95
ICMP 18401,P. agathidicida,29.7,29.7,4.95
ICMP 18401,P. agathidicida,32.175,34.65,4.95
ICMP 18404,P. agathidicida,37.125,49.5,4.95
ICMP 18404,P. agathidicida,24.75,42.075,4.95
ICMP 18404,P. agathidicida,24.75,34.65,6.435
ICMP 18404,P. agathidicida,19.8,37.125,4.95
ICMP 18404,P. agathidicida,29.7,37.125,4.95
ICMP 18404,P. agathidicida,32.175,49.5,4.95
ICMP 18404,P. agathidicida,32.175,37.125,4.95
ICMP 18404,P. agathidicida,32.175,44.55,4.95
ICMP 18404,P. agathidicida,32.175,44.55,4.95
ICMP 18404,P. agathidicida,32.175,37.125,4.95
ICMP 18404,P. agathidicida,12.375,24.75,6.435
ICMP 18404,P. agathidicida,24.75,37.125,4.95
ICMP 18404,P. agathidicida,39.6,37.125,4.95
ICMP 18404,P. agathidicida,29.7,34.65,4.95
ICMP 18404,P. agathidicida,29.7,29.7,7.425
ICMP 18404,P. agathidicida,24.75,27.225,4.95
ICMP 18404,P. agathidicida,29.7,42.075,3.71
ICMP 18404,P. agathidicida,24.75,42.075,3.71
ICMP 18404,P. agathidicida,24.75,32.175,4.95
ICMP 18404,P. agathidicida,12.375,19.8,4.95
ICMP 18406,P. agathidicida,27.225,29.7,4.95
ICMP 18406,P. agathidicida,24.75,29.7,4.95
ICMP 18406,P. agathidicida,24.75,34.65,6.435
ICMP 18406,P. agathidicida,19.8,29.7,4.95
ICMP 18406,P. agathidicida,29.7,32.175,3.96
ICMP 18406,P. agathidicida,24.75,37.125,4.95
ICMP 18406,P. agathidicida,27.225,37.125,3.96
ICMP 18406,P. agathidicida,27.225,34.65,4.95
ICMP 18406,P. agathidicida,24.75,37.125,4.95
ICMP 18406,P. agathidicida,27.225,37.125,4.95
ICMP 18406,P. agathidicida,34.65,39.6,4.95
ICMP 18406,P. agathidicida,24.75,42.075,4.95
ICMP 18406,P. agathidicida,27.225,24.75,3.71
ICMP 18406,P. agathidicida,29.7,39.6,4.95
ICMP 18406,P. agathidicida,22.275,22.275,3.71
ICMP 18406,P. agathidicida,29.7,47.025,3.71
ICMP 18406,P. agathidicida,22.275,34.65,4.95
ICMP 18406,P. agathidicida,31.85,37.125,4.95
ICMP 18406,P. agathidicida,29.7,31.85,3.71
ICMP 18406,P. agathidicida,22.275,24.75,4.95
ICMP 18407,P. agathidicida,27.225,47.025,6.435
ICMP 18407,P. agathidicida,29.7,44.55,4.95
ICMP 18407,P. agathidicida,24.75,34.65,4.95
ICMP 18407,P. agathidicida,27.225,49.5,4.95
ICMP 18407,P. agathidicida,24.75,34.65,4.95
ICMP 18407,P. agathidicida,19.8,29.7,4.95
ICMP 18407,P. agathidicida,29.7,44.55,4.95
ICMP 18407,P. agathidicida,29.7,59.4,4.95
ICMP 18407,P. agathidicida,24.45,29.7,6.187
ICMP 18407,P. agathidicida,37.125,44.5,6.187
ICMP 18407,P. agathidicida,19.8,29.7,4.95
ICMP 18407,P. agathidicida,22.275,34.65,4.95
ICMP 18407,P. agathidicida,17.325,14.85,3.71
ICMP 18407,P. agathidicida,29.7,61.875,7.425
ICMP 18407,P. agathidicida,39.6,34.65,4.95
ICMP 18407,P. agathidicida,37.125,37.125,4.95
ICMP 18407,P. agathidicida,49.5,27.225,6.187
ICMP 18407,P. agathidicida,49.5,49.5,4.95
ICMP 18407,P. agathidicida,39.6,47.025,4.95
ICMP 18407,P. agathidicida,37.125,44.55,4.95
ICMP 18408,P. agathidicida,29.7,49.5,4.95
ICMP 18408,P. agathidicida,27.225,54.45,4.95
ICMP 18408,P. agathidicida,22.275,44.55,3.96
ICMP 18408,P. agathidicida,29.7,44.55,3.96
ICMP 18408,P. agathidicida,32.175,61.875,4.95
ICMP 18408,P. agathidicida,29.7,56.925,4.95
ICMP 18408,P. agathidicida,29.7,44.55,4.95
ICMP 18408,P. agathidicida,29.7,54.45,4.95
ICMP 18408,P. agathidicida,29.7,56.925,4.95
ICMP 18408,P. agathidicida,29.7,37.125,4.95
ICMP 18408,P. agathidicida,27.225,34.65,4.95
ICMP 18408,P. agathidicida,27.225,51.975,4.95
ICMP 18408,P. agathidicida,32.175,34.65,3.71
ICMP 18408,P. agathidicida,28.462,29.7,3.71
ICMP 18408,P. agathidicida,37.125,27.225,3.71
ICMP 18408,P. agathidicida,24.75,32.175,4.95
